exper_data_id	data_group_name	data_id	pop_label	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward	population	population2
B303-20181119_102914_proc_herm	B303	A460L0_NGM_B303_herm	A460L0_herm	20181119	102914	1199.445	383.065420560748	3580	1143.34063304902	3.05817563810689	23.1	24	Paris2	NGM	-1.55752526153847	-2.58650616820059	-1.04865397144715	-4.80043389839621	-0.24517080029344	-2.72506051267869	-0.194538948545119	-0.0201311489962611	-2.87280203311347	A460	pops
B303-20181119_111011_proc_herm	B303	CA350L0_NGM_B303_herm	CA350L0_herm	20181119	111011	1197.331	406.117142857143	3125	1059.95424108168	3.02528711689243	23.4	24	Paris2	NGM	-1.63895673577876	-2.82384270488944	-1.01586988153584	-4.40462110285549	-0.26799188002818	-2.32347621145169	-0.0608251932424131	-0.122794146743246	-3.03517981843072	CA350	pops
B303-20181119_113048_proc_herm	B303	A0L0_NGM_B303_herm	A0L0_herm	20181119	113048	1331.712	340.8703125	3328	851.848147347174	2.93036218320927	23.6	24	Paris2	NGM	-1.11338648806891	-2.9021451377293	-1.21262438124519	-4.62130157677617	-0.284886191734197	-1.95987462382714	-0.591656673684947	0.468705811860203	-3.52289472548448	A0	pops
B303-20181119_115336_proc_herm	B303	A560noML0_NGM_B303_herm	A560noML0_herm	20181119	115336	1243.058	307.752212389381	4110	1017.540286069	3.00755161266002	23.8	25	Paris2	NGM	-1.46025239504218	-2.63086814708273	-1.08912821711875	-4.27693565415801	-0.330003028042806	-1.89245369400499	-0.260933530958666	0.0664589588277726	-2.98175123991657	A560	pops
B303-20181119_121453_proc_herm	B303	CA150noML0_NGM_B303_herm	CA150noML0_herm	20181119	121453	1258.491	290.735812133072	4410	1018.79547132784	3.00808700580306	23.8	24	Paris2	NGM	-1.34167346216473	-2.73729262618292	-1.28812017875106	-4.76631456899095	-0.320163311757815	-2.32502786746206	-0.461382061238507	0.292546372047887	-3.15939768976315	CA150	pops
B303-20181119_123638_proc_herm	B303	CA150L0_NGM_B303_herm	CA150L0_herm	20181119	123638	1305.423	316.675970873786	3782	917.45627420741	2.96258537502445	23.8	24	Paris2	NGM	-1.41066458439918	-2.57837225481805	-1.20446401222452	-4.7951293175824	-0.308948269297776	-2.48590442600823	-0.378807544065191	0.180601589602496	-2.97523295436038	CA150	pops
B303-20181119_125857_proc_herm	B303	A560L0_NGM_B303_herm	A560L0_herm	20181119	125857	1215.247	323.813573883161	4320	1151.10314131634	3.06111423909259	23.7	24	Paris2	NGM	-1.23139388356895	-2.66218860720679	-1.18093786862764	-4.93270268133912	-0.247352971723666	-2.40855910618251	-0.499292508596132	0.339476103217079	-3.22516030573079	A560	pops
B303-20181119_134103_proc_herm	B303	A5140L0_NGM_B303_herm	A5140L0_herm	20181119	134103	1273.846	280.064755838641	3750	824.466092757605	2.91617279942132	23.7	25	Paris2	NGM	-0.868794236755103	-2.52408773703309	-1.04559217211424	-5.09817924368902	-0.118468646180332	-2.6019311502691	-0.617788473740616	0.466130289714136	-3.30946332335075	A5140	pops
B303-20181119_150725_proc_herm	B303	CA350noML0_NGM_B303_herm	CA350noML0_herm	20181119	150725	1774.65	386.806629834254	3950	860.950715828644	2.93497829145798	24.2	27	Paris2	NGM	-1.52812790796461	-2.447269606428	-0.922251829877498	-4.49629345852574	-0.299937845475233	-2.72148029444676	-0.103403661293602	-0.161994732939392	-2.6459631283511	CA350	pops
B303-20181119_153727_proc_herm	B303	A0noML0_NGM_B303_herm	A0noML0_herm	20181119	153727	1969.795	247.417325541423	8963	1125.80318704625	3.05146247377403	24.2	27	Paris2	NGM	-0.974139465322394	-2.47123940041601	-1.57725260189013	-4.85404153819724	-0.466067062652812	-1.99325499182803	-1.00741229477038	0.830037947137758	-3.28324517422521	A0	pops
B303-20181119_161058_proc_herm	B303	A460noML0_NGM_B303_herm	A460noML0_herm	20181119	161058	1297.082	203.788872329856	5603	880.30598810575	2.94463365606784	24.3	27	Paris2	NGM	-0.650224370126036	-2.46976200680212	-1.23633251850555	-4.99180193286415	-0.260706346525376	-2.12924223282384	-0.978860158123587	0.835955923379373	-3.50151396590499	A460	pops
B303-20181119_170259_proc_herm	B303	A5140noML0_NGM_B303_herm	A5140noML0_herm	20181119	170259	1297.137	192.021255060729	6888	1019.66284583533	3.00845659490077	24.5	28	Paris2	NGM	-0.634718334241779	-2.63266463723723	-1.20710826651573	-4.96347440045343	-0.253088420088537	-2.0237313951802	-1.00270522401249	0.866267435377884	-3.56114362008051	A5140	pops
B304-20181123_090657_proc_herm	B304	A5140noML0_NGM_B304_herm	A5140noML0_herm	20181123	90657	1198.441	462.734068627451	2642	1020.11146924523	3.00864763042178	25	31	Paris2	NGM	-2.22817332690331	-2.78328336405458	-1.10471675513599	-3.73775894907186	-0.570991664717784	-2.16461319953826	0.138344767991253	-0.436099243937996	-2.54448248258395	A5140	pops
B304-20181123_094846_proc_herm	B304	CA2100noML0_NGM_B304_herm	CA2100noML0_herm	20181123	94846	1197.766	377.339969372129	3422	1078.05479132938	3.03264083410424	24.1	30	Paris2	NGM	-1.79140411245439	-2.82249605709855	-0.892488939796724	-4.49664202552122	-0.308010294185827	-2.54673723138132	0.100254765299986	-0.317635451411634	-2.86904498114342	CA2100	pops
B304-20181123_100918_proc_herm	B304	CA150L0_NGM_B304_herm	CA150L0_herm	20181123	100918	1197.391	441.074380165289	2629	968.425974017297	2.98606642907733	24	30	Paris2	NGM	-1.87193959666637	-2.78174431975601	-0.821543043253315	-3.93990044699046	-0.160294307272355	-2.32469425484887	0.234400849837204	-0.462929796568009	-2.83664821131726	CA150	pops
B304-20181123_102949_proc_herm	B304	CA2100L0_NGM_B304_herm	CA2100L0_herm	20181123	102949	1217.315	351.526315789474	3542	1022.82992530801	3.00980342585216	24	30	Paris2	NGM	-1.64310450177376	-2.82902672045011	-1.06082183929971	-4.83565741140294	-0.30658650445672	-2.69958896005378	-0.11611664137363	-0.0729153693949628	-3.00462522800368	CA2100	pops
B304-20181123_111409_proc_herm	B304	A5140L0_NGM_B304_herm	A5140L0_herm	20181123	111409	1298.539	295.063856960409	4927	1119.55022008883	3.04904357966429	23.9	30	Paris2	NGM	-1.6194293473745	-2.77695590556709	-1.12245179643944	-4.68315668988213	-0.402559905954539	-2.49863765511688	-0.162351306047202	-0.0297752999001689	-2.98862995811633	A5140	pops
B304-20181123_122939_proc_herm	B304	CA250L0_NGM_B304_herm	CA250L0_herm	20181123	122939	1295.654	291.831826401447	4606	1037.45088766373	3.01596754661644	24.4	31	Paris2	NGM	-1.4073786990008	-2.56377016190365	-0.943796404079982	-4.49015694268132	-0.414605742883265	-2.33567872591823	-0.147743613484452	-0.0990882501219159	-2.72315679164764	CA250	pops
B304-20181123_131523_proc_herm	B304	CA3100L0_NGM_B304_herm	CA3100L0_herm	20181123	131523	1297.068	307.732876712329	3499	830.147174717469	2.91915509418509	24.6	31	Paris2	NGM	-1.05265393617716	-2.41352011532768	-0.920716618354006	-5.02391560081366	-0.114475566183063	-2.86648651490468	-0.445779401808381	0.244758564409692	-2.97108693033969	CA3100	pops
B304-20181123_134057_proc_herm	B304	CA3100noML0_NGM_B304_herm	CA3100noML0_herm	20181123	134057	1231.206	376.346001583531	2240	684.706737578529	2.83550460138679	24.8	31	Paris2	NGM	-1.09538832692071	-2.42958490033993	-0.774231646259574	-4.80194418987871	-0.18481783004734	-2.5691256228793	-0.2796920739593	0.0814626932557454	-2.96320055320359	CA3100	pops
B304-20181123_140203_proc_herm	B304	A4140noML0_NGM_B304_herm	A4140noML0_herm	20181123	140203	1296.403	268.744302390217	5531	1146.57613143466	3.05940289671468	24.8	31	Paris2	NGM	-1.32084287535756	-2.6409036141157	-1.1932989065248	-5.12267971494995	-0.34212028295827	-2.5008200562098	-0.425434621403529	0.259960663323712	-3.1739897977125	A4140	pops
B304-20181123_142555_proc_herm	B304	A4140L0_NGM_B304_herm	A4140L0_herm	20181123	142555	1295.786	563.843683083512	1814	789.337468620197	2.89726271857729	25	32	Paris2	NGM	-1.48716611812406	-2.20225621313533	-0.456332966468959	-3.83367404248268	0.154596372114966	-2.37848338852437	0.136005377849868	-0.414541859543078	-2.61424254616067	A4140	pops
B304-20181123_145542_proc_herm	B304	CA150noML0_NGM_B304_herm	CA150noML0_herm	20181123	145542	1296.638	268.448258950466	5000	1035.1704136022	3.01501185085078	25.2	32	Paris2	NGM	-1.39794600818633	-2.5218822032398	-1.19468212036381	-4.44428394147939	-0.46986933612345	-2.07829232906661	-0.391453553575191	0.173307058882709	-2.87479055068996	CA150	pops
B304-20181123_170615_proc_herm	B304	CA250noML0_NGM_B304_herm	CA250noML0_herm	20181123	170615	1296.997	417.949691991786	2459	792.398357596666	2.89894356670568	25.2	33	Paris2	NGM	-1.4128408059597	-2.56553149579034	-0.851822301114327	-4.85172805737101	-0.180134206636352	-2.68699141569298	-0.13972762183482	-0.0606141868236733	-2.94393190863029	CA250	pops
B305-20181126_092527_proc_herm	B305	A660L0_NGM_B305_herm	A660L0_herm	20181126	92527	1219.476	286.706591070163	4633	1089.24787074782	3.03712671965358	24.7	32	Paris2	NGM	-1.10757513774268	-2.2648238525699	-1.34654096103414	-5.13412812705195	-0.349633544057778	-2.43900269453515	-0.762748944374131	0.539544696581497	-2.93931888891387	A660	pops
B305-20181126_120507_proc_herm	B305	A660noML0_NGM_B305_herm	A660noML0_herm	20181126	120507	1297.285	226.634196465269	6812	1190.04856012473	3.07556468321096	25.3	33	Paris2	NGM	-0.935410891945768	-2.08793012999423	-1.394760767659	-5.20571826063897	-0.477325680010739	-2.23554036367617	-0.982118851015796	0.731569476753158	-2.89545187935203	A660	pops
B305-20181126_122940_proc_herm	B305	A6140L0_NGM_B305_herm	A6140L0_herm	20181126	122940	1196.403	265.471305595409	4550	1009.60499134415	3.0041514889958	25.3	33	Paris2	NGM	-1.23569545889802	-2.39485102485688	-1.29677349532192	-4.94512632206581	-0.423836348108497	-2.38785568886673	-0.626414945943895	0.408584597556104	-2.92507852029559	A6140	pops
B305-20181126_125021_proc_herm	B305	A6140noML0_NGM_B305_herm	A6140noML0_herm	20181126	125021	1296.363	248.026679371129	5138	983.027962545106	2.99256587165342	25.4	33	Paris2	NGM	-0.854145853494805	-2.18821345343612	-1.53488395026688	-5.26129811564862	-0.547419357844384	-2.02033742443283	-1.11905218925719	0.895574358345697	-3.08396186352432	A6140	pops
B306-20190304_084938_proc_herm	B306	A6140L0_NGM_B306_herm	A6140L0_herm	20190304	84938	1265.189	371.995133819951	2807	825.323600373227	2.91662426406647	21.4	38	Paris2	NGM	-1.78673180643026	-3.14556548600935	-0.87868157127466	-4.32772457115182	0.0154453043799213	-2.43856068309871	0.03452033317515	-0.190832797010398	-3.20615606916866	A6140	pops
B306-20190304_091120_proc_herm	B306	A410L0_NGM_B306_herm	A410L0_herm	20190304	91120	1199.311	551.269480519481	916	421.044119628557	2.62432760630429	21.6	38	Paris2	NGM	-1.53957949720962	-2.36003722051083	-0.629596303605115	-4.94004548037648	0.0853476464283935	-3.44434416997532	-0.16308321957573	-0.0436598547658544	-2.91137907980273	A410	pops
B306-20190304_093151_proc_herm	B306	A110L0_NGM_B306_herm	A110L0_herm	20190304	93151	1297.012	331.675461741425	4226	1080.6842969219	3.0336988409194	22	37	Paris2	NGM	-1.15486601343922	-2.31088048264578	-1.11430280564109	-4.61608210109994	-0.217753832183112	-2.59804813475351	-0.625488828092913	0.404929391311745	-2.91136821666292	A110	pops
B306-20190304_095748_proc_herm	B306	CA35L0_NGM_B306_herm	CA35L0_herm	20190304	95748	1197.61	367.927672955975	2198	675.265758600239	2.8294747280587	22.2	37	Paris2	NGM	-1.3491094513766	-2.44381855956248	-0.984375537122546	-4.42750419154096	-0.0976414962744485	-2.39377601892921	-0.41693505894928	0.210580380291911	-2.93817891737373	CA35	pops
B306-20190304_101822_proc_herm	B306	CA15L0_NGM_B306_herm	CA15L0_herm	20190304	101822	1262.671	349.309692671395	2864	792.306911151737	2.89889344421634	22.3	37	Paris2	NGM	-1.03658158713569	-2.09421027450981	-0.896171862627923	-4.29465865400102	-0.0865518690535943	-2.67757218500891	-0.592790479404761	0.312998541971469	-2.64354215144947	CA15	pops
B306-20190304_104003_proc_herm	B306	CA110L0_NGM_B306_herm	CA110L0_herm	20190304	104003	1197.372	373.027290448343	2907	905.641967018882	2.95695653931065	22.3	38	Paris2	NGM	-1.14216460864587	-2.39007185321538	-1.00056497252046	-4.62865891949998	-0.200531777717639	-2.47407621148642	-0.441010653221774	0.224479824563007	-2.89071739184923	CA110	pops
B306-20190304_110029_proc_herm	B306	A360L0_NGM_B306_herm	A360L0_herm	20190304	110029	1204.275	305.270491803279	3773	956.414079486637	2.98064596079207	22.4	38	Paris2	NGM	-1.22792412250508	-2.25875064321121	-0.96603447185737	-4.28327067814969	-0.120960855968184	-2.44043023721303	-0.579320890405805	0.334306618266044	-2.78565569183452	A360	pops
B306-20190304_112304_proc_herm	B306	A310L0_NGM_B306_herm	A310L0_herm	20190304	112304	1196.739	287.010510510511	3929	942.280894828192	2.97418038569016	22.4	38	Paris2	NGM	-1.00468573046418	-2.03116025009076	-1.03003063634844	-4.39227528396761	-0.110864248787855	-2.49311442963436	-0.797988325859995	0.530587577384136	-2.75288619518021	A310	pops
B306-20190304_114340_proc_herm	B306	A160L0_NGM_B306_herm	A160L0_herm	20190304	114340	1197.439	321.166487647691	3274	878.12329526476	2.94355549847306	22.8	38	Paris2	NGM	-1.20788477386023	-2.28427317783383	-1.22892739091928	-4.75294382311783	-0.372003734903647	-2.48390327483562	-0.660195186792266	0.411191775028444	-2.78883277361238	A160	pops
